text,id,label,annotator,annotation_id,created_at,updated_at,lead_time
- [Docker方式安装MindSpore CPU版本](#docker方式安装mindspore-cpu版本),8258,"[{""start"": 3, ""end"": 11, ""text"": ""Docker方式"", ""labels"": [""MET""]}, {""start"": 13, ""end"": 26, ""text"": ""MindSpore CPU"", ""labels"": [""TOO""]}, {""start"": 41, ""end"": 54, ""text"": ""mindspore-cpu"", ""labels"": [""TOO""]}, {""start"": 31, ""end"": 39, ""text"": ""docker方式"", ""labels"": [""MET""]}]",1,5989,2022-09-04T09:37:33.439012Z,2022-09-04T09:37:33.439012Z,21.875
# Docker方式安装MindSpore CPU版本,8254,"[{""start"": 2, ""end"": 10, ""text"": ""Docker方式"", ""labels"": [""MET""]}, {""start"": 12, ""end"": 25, ""text"": ""MindSpore CPU"", ""labels"": [""TOO""]}]",1,5985,2022-09-04T09:37:09.372632Z,2022-09-04T09:37:09.372632Z,14.565
conda update mindspore-cpu -c mindspore -c conda-forge,8252,"[{""start"": 0, ""end"": 6, ""text"": ""conda "", ""labels"": [""COM""]}, {""start"": 13, ""end"": 27, ""text"": ""mindspore-cpu "", ""labels"": [""TOO""]}]",1,5983,2022-09-04T09:36:53.652493Z,2022-09-04T09:36:53.652493Z,15.576
当需要升级MindSpore版本时，可执行如下命令：,8249,"[{""start"": 23, ""end"": 25, ""text"": ""命令"", ""labels"": [""NOU""]}, {""start"": 5, ""end"": 14, ""text"": ""MindSpore"", ""labels"": [""TOO""]}]",1,5980,2022-09-04T09:36:36.379970Z,2022-09-04T09:36:36.379970Z,12.687
在联网状态下，安装Conda安装包时会自动下载MindSpore安装包的依赖项（依赖项详情参见[setup.py](https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py)中的required_package），其余情况需自行安装。运行模型时，需要根据[ModelZoo](https://gitee.com/mindspore/models/tree/r1.7/)中不同模型指定的requirements.txt安装额外依赖，常见依赖可以参考[requirements.txt](https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt)。,8230,"[{""start"": 9, ""end"": 14, ""text"": ""Conda"", ""labels"": [""TOO""]}, {""start"": 23, ""end"": 32, ""text"": ""MindSpore"", ""labels"": [""TOO""]}, {""start"": 40, ""end"": 42, ""text"": ""依赖"", ""labels"": [""NOU""]}, {""start"": 58, ""end"": 114, ""text"": ""https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py"", ""labels"": [""LIN""]}, {""start"": 156, ""end"": 164, ""text"": ""ModelZoo"", ""labels"": [""TOO""]}, {""start"": 166, ""end"": 211, ""text"": ""https://gitee.com/mindspore/models/tree/r1.7/"", ""labels"": [""NOU""]}, {""start"": 245, ""end"": 247, ""text"": ""依赖"", ""labels"": [""NOU""]}, {""start"": 269, ""end"": 334, ""text"": ""(https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt"", ""labels"": [""LIN""]}]",1,5961,2022-09-04T09:36:11.079493Z,2022-09-04T09:36:11.079493Z,63.459
conda install mindspore-cpu -c mindspore -c conda-forge -y,8227,"[{""start"": 0, ""end"": 6, ""text"": ""conda "", ""labels"": [""COM""]}, {""start"": 14, ""end"": 27, ""text"": ""mindspore-cpu"", ""labels"": [""TOO""]}]",1,5958,2022-09-04T09:35:05.676376Z,2022-09-04T09:35:05.676376Z,16.027
确认您处于Conda虚拟环境中，并执行如下命令安装最新版本的MindSpore。如需安装其他版本，可参考[版本列表](https://www.mindspore.cn/versions)在`mindspore-cpu=`后指定版本号。,8224,"[{""start"": 21, ""end"": 23, ""text"": ""命令"", ""labels"": [""NOU""]}, {""start"": 30, ""end"": 39, ""text"": ""MindSpore"", ""labels"": [""TOO""]}, {""start"": 53, ""end"": 55, ""text"": ""版本"", ""labels"": [""NOU""]}, {""start"": 59, ""end"": 92, ""text"": ""https://www.mindspore.cn/versions"", ""labels"": [""LIN""]}]",1,5955,2022-09-04T09:34:47.751521Z,2022-09-04T09:34:47.751521Z,32.23
如果希望使用其他版本Python，只需更改以上命令中的Python版本。当前支持Python 3.7，Python 3.8和Python 3.9。,8220,"[{""start"": 23, ""end"": 25, ""text"": ""命令"", ""labels"": [""NOU""]}, {""start"": 27, ""end"": 33, ""text"": ""Python"", ""labels"": [""TOO""]}, {""start"": 40, ""end"": 47, ""text"": ""Python "", ""labels"": [""TOO""]}, {""start"": 51, ""end"": 58, ""text"": ""Python "", ""labels"": [""TOO""]}, {""start"": 62, ""end"": 69, ""text"": ""Python "", ""labels"": [""TOO""]}, {""start"": 47, ""end"": 50, ""text"": ""3.7"", ""labels"": [""NUM""]}, {""start"": 58, ""end"": 61, ""text"": ""3.8"", ""labels"": [""NUM""]}, {""start"": 69, ""end"": 72, ""text"": ""3.9"", ""labels"": [""NUM""]}]",1,5951,2022-09-04T09:34:12.381555Z,2022-09-04T09:34:12.381555Z,39.952
conda activate mindspore_py37,8217,"[{""start"": 0, ""end"": 6, ""text"": ""conda "", ""labels"": [""COM""]}, {""start"": 15, ""end"": 29, ""text"": ""mindspore_py37"", ""labels"": [""TOO""]}]",1,5948,2022-09-04T09:33:30.820081Z,2022-09-04T09:33:30.820081Z,10.017
conda create -c conda-forge -n mindspore_py37 python=3.7.5 -y,8216,"[{""start"": 0, ""end"": 6, ""text"": ""conda "", ""labels"": [""COM""]}, {""start"": 31, ""end"": 46, ""text"": ""mindspore_py37 "", ""labels"": [""TOO""]}]",1,5947,2022-09-04T09:33:20.540835Z,2022-09-04T09:33:20.540835Z,13.334
