Q,B-Skill
i,I-Skill
l,I-Skill
i,I-Skill
n,I-Skill
g,I-Skill
框,I-Skill
架,I-Skill
是,O
一,O
个,O
高,O
级,O
二,O
进,O
制,O
虚,O
拟,O
框,O
架,O
，,O
具,O
有,O
以,O
下,O
特,O
性,O
：,O
/,O
n,O
虚,O
拟,O
多,O
平,O
台,O
:,O
 ,O
W,O
i,O
n,O
d,O
o,O
w,O
s,O
。,O
 ,O
M,O
a,O
c,O
O,O
S,O
。,O
 ,O
L,O
i,O
n,O
u,O
x,O
。,O
 ,O
B,O
S,O
D,O
。,O
 ,O
U,O
E,O
F,O
I,O
。,O
 ,O
D,O
O,O
S,O
。,O
 ,O
M,O
B,O
R,O
。,O
 ,O
E,O
t,O
h,O
e,O
r,O
e,O
u,O
m,O
 ,O
V,O
i,O
r,O
t,O
u,O
a,O
l,O
 ,O
M,O
a,O
c,O
h,O
i,O
n,O
e,O
/,O
n,O
虚,O
拟,O
多,O
架,O
构,O
:,O
 ,O
X,O
8,O
6,O
。,O
 ,O
X,O
8,O
6,O
_,O
6,O
4,O
。,O
 ,O
A,O
r,O
m,O
。,O
 ,O
A,O
r,O
m,O
6,O
4,O
。,O
 ,O
M,O
I,O
P,O
S,O
。,O
 ,O
8,O
0,O
8,O
6,O
/,O
n,O
支,O
持,O
多,O
种,O
文,O
件,O
格,O
式,O
:,O
 ,O
P,O
E,O
。,O
 ,O
M,O
a,O
c,O
h,O
O,O
。,O
 ,O
E,O
L,O
F,O
。,O
 ,O
C,O
O,O
M,O
。,O
 ,O
M,O
B,O
R,O
/,O
n,O
通,O
过,O
D,O
e,O
m,O
i,O
g,O
o,O
d,O
支,O
持,O
W,O
i,O
n,O
d,O
o,O
w,O
s,O
 ,O
驱,O
动,O
(,O
.,O
s,O
y,O
s,O
),O
。,O
 ,O
L,O
i,O
n,O
u,O
x,O
 ,O
内,O
核,O
模,O
块,O
 ,O
(,O
.,O
k,O
o,O
),O
 ,O
&,O
 ,O
M,O
a,O
c,O
O,O
S,O
内,O
核,O
 ,O
(,O
.,O
k,O
e,O
x,O
t,O
),O
/,O
n,O
在,O
独,O
立,O
环,O
境,O
中,O
沙,O
箱,O
化,O
虚,O
拟,O
代,O
码,O
/,O
n,O
提,O
供,O
一,O
个,O
完,O
全,O
可,O
配,O
置,O
的,O
沙,O
箱,O
环,O
境,O
/,O
n,O
提,O
供,O
了,O
内,O
存,O
、,O
寄,O
存,O
器,O
、,O
操,O
作,O
系,O
统,O
和,O
文,O
件,O
系,O
统,O
级,O
别,O
A,O
P,O
I,O
/,O
n,O
细,O
粒,O
度,O
插,O
桩,O
:,O
 ,O
允,O
许,O
进,O
行,O
多,O
种,O
级,O
别,O
的,O
h,O
o,O
o,O
k,O
 ,O
(,O
指,O
令,O
/,O
基,O
本,O
块,O
/,O
内,O
存,O
/,O
异,O
常,O
/,O
系,O
统,O
调,O
用,O
/,O
